index,family,kind,n,m,delta,siriaisa_size,optimum,ratio,expected_constant,within_bound,siriaisa_ms,milp_ms
5304,complete_bipartite,rigid,17,70,10,7,7,1.0000,1.0000,1,2.748,1.637
5305,crown,rigid,12,30,5,2,2,1.0000,1.0000,1,1.570,9.384
5306,double_star,rigid,8,7,6,2,2,1.0000,1.0000,1,1.458,1.071
5307,erdos_renyi,random,16,15,4,7,7,1.0000,4.0000,1,2.738,1.113
5308,barabasi_albert,random,32,31,13,12,12,1.0000,13.0000,1,3.518,1.226
5309,random_tree,random,19,18,4,7,7,1.0000,4.0000,1,2.592,13.840
5310,path,bounded,18,17,2,6,6,1.0000,2.0000,1,2.582,11.656
5311,cycle,bounded,13,13,2,5,5,1.0000,2.0000,1,2.089,11.912
5312,ladder,bounded,36,52,3,10,10,1.0000,3.0000,1,5.391,24.981
5313,grid,bounded,25,40,4,7,7,1.0000,4.0000,1,4.053,13.476
5314,regular,bounded,34,51,3,9,9,1.0000,3.0000,1,4.825,28.729
5315,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.624,1.126
5316,lollipop,bounded,6,11,5,1,1,1.0000,5.0000,1,1.146,9.610
5317,clique,rigid,13,78,12,1,1,1.0000,1.0000,1,2.345,1.432
5318,star,rigid,6,5,5,1,1,1.0000,1.0000,1,0.856,0.921
5319,complete_bipartite,rigid,15,56,8,7,7,1.0000,1.0000,1,2.363,1.435
5320,crown,rigid,6,6,2,2,2,1.0000,1.0000,1,0.761,11.638
5321,double_star,rigid,13,12,9,4,4,1.0000,1.0000,1,1.788,1.187
5322,erdos_renyi,random,19,29,5,7,7,1.0000,5.0000,1,3.225,12.529
5323,barabasi_albert,random,24,44,13,6,6,1.0000,13.0000,1,3.906,10.172
5324,random_tree,random,17,16,4,5,5,1.0000,4.0000,1,2.240,1.111
5325,path,bounded,25,24,2,9,9,1.0000,2.0000,1,3.964,10.864
5326,cycle,bounded,4,4,2,2,2,1.0000,2.0000,1,0.859,1.247
5327,ladder,bounded,24,34,3,7,7,1.0000,3.0000,1,3.518,13.745
5328,grid,bounded,16,24,4,4,4,1.0000,4.0000,1,2.707,11.459
5329,regular,bounded,30,75,5,6,6,1.0000,5.0000,1,5.570,95.631
5330,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,1.908,12.995
5331,lollipop,bounded,12,32,8,2,2,1.0000,8.0000,1,2.033,1.244
5332,clique,rigid,3,3,2,1,1,1.0000,1.0000,1,0.621,0.922
5333,star,rigid,11,10,10,1,1,1.0000,1.0000,1,1.221,0.945
5334,complete_bipartite,rigid,13,22,11,2,2,1.0000,1.0000,1,1.697,1.133
5335,crown,rigid,10,20,4,2,2,1.0000,1.0000,1,1.177,8.922
5336,double_star,rigid,17,16,11,6,6,1.0000,1.0000,1,2.107,1.069
5337,erdos_renyi,random,10,20,7,3,3,1.0000,7.0000,1,2.181,8.800
5338,barabasi_albert,random,22,21,8,11,11,1.0000,8.0000,1,2.542,1.148
5339,random_tree,random,30,29,4,12,12,1.0000,4.0000,1,3.985,12.440
5340,path,bounded,4,3,2,2,2,1.0000,2.0000,1,1.007,0.925
5341,cycle,bounded,28,28,2,10,10,1.0000,2.0000,1,3.277,12.188
5342,ladder,bounded,18,25,3,5,5,1.0000,3.0000,1,2.773,10.444
5343,grid,bounded,20,31,4,6,6,1.0000,4.0000,1,4.354,10.705
5344,regular,bounded,34,85,5,7,7,1.0000,5.0000,1,5.645,29.019
5345,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,1.999,12.892
5346,lollipop,bounded,10,10,3,3,3,1.0000,3.0000,1,1.596,11.530
5347,clique,rigid,9,36,8,1,1,1.0000,1.0000,1,1.992,1.643
5348,star,rigid,30,29,29,1,1,1.0000,1.0000,1,2.553,1.313
5349,complete_bipartite,rigid,16,48,12,4,4,1.0000,1.0000,1,2.242,1.438
5350,crown,rigid,6,6,2,2,2,1.0000,1.0000,1,0.777,14.198
5351,double_star,rigid,20,19,11,9,9,1.0000,1.0000,1,2.610,1.395
5352,erdos_renyi,random,24,106,12,3,3,1.0000,12.0000,1,5.843,12.231
5353,barabasi_albert,random,16,15,6,7,7,1.0000,6.0000,1,2.027,1.065
